اسم_المدرسة,المنطقة_الإدارية,الإدارة_التعليمية,المكتب_التعليمي,السلطة,نوع_التعليم,الجنس,نوع_الاختبار,تخصص_الاختبار,متوسط_أداء_الطلبة_في_المدرسة,ترتيب_المدرسة_على_مستوى_المدارس
ثانوية المشكاة الأهلية - مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بغرب الدمام,أهلي,تعليم عام بنين,بنين,قدرات,علمي,83.55862,19
تحفيظ ثانوية مجمع ابن عثيمين لتحفيظ القرآن الكريم - مقررات,القصيم,الإدارة العامة للتعليم بمنطقة القصيم,مكتب التعليم جنوب بريدة,حكومي,تحفيظ بنين,بنين,قدرات,نظري,78.414179,19
ثانوية البسام الاهلية - مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بشرق الدمام,أهلي,تعليم عام بنين,بنين,قدرات,علمي,83.552083,20
ثانوية الدرعية لتحفيظ القرآن الكريم - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,مكتب التعليم بالدرعية,حكومي,تحفيظ بنين,بنين,قدرات,نظري,78.345238,20
ثانوية الأنجال - مقررات,الشرقية,الإدارة العامة للتعليم بمحافظة الاحساء,مكتب التعليم بالهفوف,أهلي,تعليم عام بنين,بنين,قدرات,علمي,83.333333,21
ثانوية الإمام الدوري لتحفيظ القرآن الكريم - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,مكتب التعليم بالعزيزية,حكومي,تحفيظ بنين,بنين,قدرات,نظري,78.217821,21
مدارس الخندق الأهلية - المرحلة الثانوية (مقررات),المدينة المنورة,الإدارة العامة للتعليم بمنطقة المدينة المنورة,مكتب التعليم شرق المدينة المنورة,أهلي,تعليم عام بنين,بنين,قدرات,علمي,83.316831,22
الامام ورش الثانوية لتحفيظ القران الكريم - مقررات,مكة المكرمة,الإدارة العامة للتعليم بمحافظة جدة,مكتب التعليم بشمال جدة,حكومي,تحفيظ بنين,بنين,قدرات,نظري,78.207547,22
ثانوية الرياض الأهلية,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,مكتب التعليم بالوسط,أهلي,تعليم عام بنين,بنين,قدرات,علمي,83.085043,23
ثانوية تحفيظ القرآن الكريم بحوطة بني تميم - مقررات,الرياض,إدارة التعليم بمحافظتي حوطة بني تميم والحريق,إدارة الإشراف التربوي,حكومي,تحفيظ بنين,بنين,قدرات,نظري,77.736111,23
