اسم_المدرسة,المنطقة_الإدارية,الإدارة_التعليمية,المكتب_التعليمي,السلطة,نوع_التعليم,الجنس,نوع_الاختبار,تخصص_الاختبار,متوسط_أداء_الطلبة_في_المدرسة,ترتيب_المدرسة_على_مستوى_المدارس
أم سلمة الثانوية للموهوبات - مقررات,مكة المكرمة,الإدارة العامة للتعليم بمنطقة مكة المكرمة,مكتب التعليم جنوب مكة المكرمة,حكومي,تعليم عام بنات,بنات,قدرات,علمي,89.622377,1
ثانوية الرواد الأهلية ( الازدهار ) - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,أهلي,تعليم عام بنات,بنات,قدرات,نظري,84.44,1
ثانوية الموهوبات ( نظام مقررات ),مكة المكرمة,الإدارة العامة للتعليم بمحافظة جدة,مكتب التعليم بشمال جدة,حكومي,تعليم عام بنات,بنات,قدرات,علمي,89.280423,2
الثانوية السادسة لتحفيظ القرآن الكريم 6 - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,حكومي,تحفيظ بنات,بنات,قدرات,نظري,83.55,2
ثانوية مدارس الظهران الاهلية (مقررات),الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بمحافظة الخبر,أهلي,تعليم عام بنات,بنات,قدرات,علمي,88.903225,3
الثانوية الرابعة لتحفيظ القرآن الكريم بالمدينة - مقررات,المدينة المنورة,الإدارة العامة للتعليم بمنطقة المدينة المنورة,مكتب التعليم شمال المدينة المنورة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,82.188679,3
ثانوية الأنجال الأهلية-مقررات,الشرقية,الإدارة العامة للتعليم بمحافظة الاحساء,مكتب التعليم بالهفوف,أهلي,تعليم عام بنات,بنات,قدرات,علمي,87.521472,4
الثانوية الخامسة لتحفيظ القران الكريم 5 - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,غرب,حكومي,تحفيظ بنات,بنات,قدرات,نظري,82.185185,4
ثانوية مدارس الجامعة الاهلية للبنات - مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بمحافظة الخبر,أهلي,تعليم عام بنات,بنات,قدرات,علمي,87.287066,5
ثانوية حفصة بنت عمر لتحفيظ القرآن الكريم. - مقررات,الشرقية,الإدارة العامة للتعليم بمحافظة الاحساء,مكتب التعليم بالهفوف,حكومي,تحفيظ بنات,بنات,قدرات,نظري,81.912087,5
ثانوية شموخ الأجيال الأهلية (مقررات),الرياض,الإدارة العامة للتعليم بمنطقة الرياض,غرب,أهلي,تعليم عام بنات,بنات,قدرات,علمي,86.874125,6
الثانوية الأولى لتحفيظ القرآن الكريم بالمدينة - مقررات,المدينة المنورة,الإدارة العامة للتعليم بمنطقة المدينة المنورة,مكتب التعليم شرق المدينة المنورة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,81.627634,6
ثانوية الفهد الأهلية - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,وسط,أهلي,تعليم عام بنات,بنات,قدرات,علمي,85.658878,7
ثانوية تحفيظ القرآن  الأولى بالهفوف. - مقررات,الشرقية,الإدارة العامة للتعليم بمحافظة الاحساء,مكتب التعليم بالهفوف,حكومي,تحفيظ بنات,بنات,قدرات,نظري,81.352112,7
ثانوية طلائع القصيم الأهلية ببريدة - مقررات,القصيم,الإدارة العامة للتعليم بمنطقة القصيم,مكتب التعليم شمال بريدة,أهلي,تعليم عام بنات,بنات,قدرات,علمي,84.77821,8
الثانوية الثامنة لتحفيظ القرآن الكريم 8 - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,الروابي,حكومي,تحفيظ بنات,بنات,قدرات,نظري,81.322751,8
مدارس الظهران الأهلية / الثانوية الدولية,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بمحافظة الخبر,تعليم عالمي,تعليم عالمي بنات,بنات,قدرات,علمي,84.362637,9
الثانوية الأولى لتحفيظ القرآن الكريم  بالدلم - مقررات,الرياض,إدارة التعليم بمحافظة الخرج,مكتب تعليم (بنات)  بمحافظة الدلم,حكومي,تحفيظ بنات,بنات,قدرات,نظري,81.192307,9
ثانوية الفيصلية الحديثة الأهلية - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,وسط,أهلي,تعليم عام بنات,بنات,قدرات,علمي,83.601694,10
ثانوية تحفيظ القرآن بالمجمعه - مقررات,الرياض,إدارة التعليم بمحافظة المجمعة,المجمعة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,81.160493,10
مدارس منارات المدينة المنورة الأهلية للبنات -ثانوي- مقررات,المدينة المنورة,الإدارة العامة للتعليم بمنطقة المدينة المنورة,مكتب التعليم شرق المدينة المنورة,أهلي,تعليم عام بنات,بنات,قدرات,علمي,83.494071,11
الثانوية السابعة لتحفيظ القرآن الكريم 7 - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,النهضة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,80.990783,11
مدارس السلام الخاصة للبنات - نظام المقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بمحافظة الخبر,أهلي,تعليم عام بنات,بنات,قدرات,علمي,83.371428,12
الثانوية الثامنة لتحفيظ القران الكريم بمكة المكرمة - مقررات,مكة المكرمة,الإدارة العامة للتعليم بمنطقة مكة المكرمة,مكتب التعليم جنوب مكة المكرمة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,80.791836,12
ثانوية الرواد الأهلية ( الازدهار ) - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,أهلي,تعليم عام بنات,بنات,قدرات,علمي,83.347663,13
ثانوية تحفيظ القرآن الكريم بأبها - مقررات,عسير,الإدارة العامة للتعليم بمنطقة عسير,مكتب التعليم بأبها,حكومي,تحفيظ بنات,بنات,قدرات,نظري,80.752941,13
ثانوية جامعة الأميرة نورة - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,حكومي,تعليم عام بنات,بنات,قدرات,علمي,83.343065,14
الثانوية الثانية لتحفيظ القرآن بالدمام - مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم شرق الدمام,حكومي,تحفيظ بنات,بنات,قدرات,نظري,80.686666,14
ثانوية مدارس الحصان النموذجية الأهلية ورياض الأطفال للبنات (مقررات),الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم شرق الدمام,أهلي,تعليم عام بنات,بنات,قدرات,علمي,83.286118,15
ثانوية تحفيظ القرآن الكريم بالدرعية - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,الدرعية,حكومي,تحفيظ بنات,بنات,قدرات,نظري,80.417391,15
الذكر  الثانوية الأهلية- نظام مقررات,مكة المكرمة,الإدارة العامة للتعليم بمحافظة جدة,مكتب التعليم بوسط جدة,أهلي,تعليم عام بنات,بنات,قدرات,علمي,82.875647,16
الثانوية الأولى لتحفيظ القرآن بالخبر - مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بمحافظة الخبر,حكومي,تحفيظ بنات,بنات,قدرات,نظري,80.413612,16
البيان الثانوية الأهلية ( مسار دولي ),مكة المكرمة,الإدارة العامة للتعليم بمحافظة جدة,مكتب التعليم بوسط جدة,تعليم عالمي,تعليم عالمي بنات,بنات,قدرات,علمي,82.714285,17
الثانوية الثالثة لتحفيظ القرآن الكريم بمكة المكرمة - مقررات,مكة المكرمة,الإدارة العامة للتعليم بمنطقة مكة المكرمة,مكتب التعليم غرب مكة المكرمة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,80.303571,17
ثانوية الفرسان الأهلية - المقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,أهلي,تعليم عام بنات,بنات,قدرات,علمي,82.672,18
الثانوية الثانية لتحفيظ القرآن الكريم 2 - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,وسط,حكومي,تحفيظ بنات,بنات,قدرات,نظري,80.156862,18
ثانوية التربية النموذجية (البرنامج الدولي أمريكي),الرياض,الإدارة العامة للتعليم بمنطقة الرياض,الروابي,تعليم عالمي,تعليم عالمي بنات,بنات,قدرات,علمي,82.547619,19
ثانوية أم حبيبة لتحفيظ القرآن الكريم - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,الحرس,حكومي,تحفيظ بنات,بنات,قدرات,نظري,80.022222,19
اكاديمية المعارف الثانوية الأهلية - مقررات,مكة المكرمة,الإدارة العامة للتعليم بمحافظة جدة,مكتب التعليم بوسط جدة,أهلي,تعليم عام بنات,بنات,قدرات,علمي,82.521126,20
ثانوية تحفيظ القرآن الكريم الأولى لنظام المقررات,القصيم,إدارة التعليم بمحافظة عنيزة,ادارةالتعليم بمحافظة عنيزة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,79.778656,20
ثانوية منارات الرياض الأهلية - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,أهلي,تعليم عام بنات,بنات,قدرات,علمي,82.465853,21
الثانوية الثامنة بالخبر ( مقررات ),الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بمحافظة الخبر,حكومي,تعليم عام بنات,بنات,قدرات,نظري,79.774774,21
ثانوية مدارس الفيصلية الإسلامية بالخبر (مقررات),الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بمحافظة الخبر,أهلي,تعليم عام بنات,بنات,قدرات,علمي,82.422857,22
ثانوية تحفيظ القرآن الكريم بينبع البحر - مقررات,المدينة المنورة,إدارة التعليم بمحافظة ينبع,مكتب التعليم شمال ينبع,حكومي,تحفيظ بنات,بنات,قدرات,نظري,79.650793,22
ثانوية التربية الأهلية - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,أهلي,تعليم عام بنات,بنات,قدرات,علمي,82.394584,23
الثانوية الثامنة والأربعون 48 - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,الدرعية,حكومي,تعليم عام بنات,بنات,قدرات,نظري,79.634146,23
الثانوية الأولى - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,وسط,حكومي,تعليم عام بنات,بنات,قدرات,علمي,82.365517,24
ثانوية تحفيظ القرآن الكريم الثانية  بخميس مشيط - مقررات,عسير,الإدارة العامة للتعليم بمنطقة عسير,خميس مشيط,حكومي,تحفيظ بنات,بنات,قدرات,نظري,79.630252,24
مدارس رواد الخليج الثانوية العالمية للبنات - بالدمام,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم شرق الدمام,تعليم عالمي,تعليم عالمي بنات,بنات,قدرات,علمي,82.344262,25
الثانوية الثالثة لتحفيظ القرآن الكريم بالمدينة - مقررات,المدينة المنورة,الإدارة العامة للتعليم بمنطقة المدينة المنورة,مكتب التعليم غرب المدينة المنورة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,79.580838,25
السعد الأهلية للمرحلة الثانوية (البرنامج الدولي),الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بمحافظة الخبر,تعليم عالمي,تعليم عالمي بنات,بنات,قدرات,علمي,82.315789,26
الثانوية الثانية لتحفيظ القرآن الكريم بالمدينة - مقررات,المدينة المنورة,الإدارة العامة للتعليم بمنطقة المدينة المنورة,مكتب التعليم غرب المدينة المنورة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,79.523809,26
مدارس أكاديمية الكفاح الأهلية للتعليم - الثانوية نظام المقررات (بنات),الشرقية,الإدارة العامة للتعليم بمحافظة الاحساء,مكتب التعليم بالهفوف,أهلي,تعليم عام بنات,بنات,قدرات,علمي,82.20283,27
الثانوية الأربعون بعد المائة 140 - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,الروابي,حكومي,تعليم عام بنات,بنات,قدرات,نظري,79.404411,27
ثانوية مدارس البسام الاهلية للبنات -مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم شرق الدمام,أهلي,تعليم عام بنات,بنات,قدرات,علمي,82.092233,28
الثانوية الرابعة لتحفيظ القرآن الكريم 4 - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,البديعة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,79.378378,28
الثانوية الثامنة والأربعون 48 - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,الدرعية,حكومي,تعليم عام بنات,بنات,قدرات,علمي,81.96107,29
ثانوية تحفيظ القرآن الكريم الأولى بخميس مشيط - مقررات,عسير,الإدارة العامة للتعليم بمنطقة عسير,خميس مشيط,حكومي,تحفيظ بنات,بنات,قدرات,نظري,79.325581,29
ثانوية الأركان الأهلية - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,غرب,أهلي,تعليم عام بنات,بنات,قدرات,علمي,81.929936,30
الثانوية العاشرة لتحفيظ القرآن الكريم 10 - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,الشفا,حكومي,تحفيظ بنات,بنات,قدرات,نظري,79.230303,30
ثانوية الرواد العالمية,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,تعليم عالمي,تعليم عالمي بنات,بنات,قدرات,علمي,81.88785,31
الثانوية الأولى لتحفيظ القرآن الكريم في بريدة - مقررات,القصيم,الإدارة العامة للتعليم بمنطقة القصيم,مكتب التعليم جنوب بريدة بنات,حكومي,تحفيظ بنات,بنات,قدرات,نظري,79.011363,31
ثانوية رياض نجد الأهلية الدبلوما,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,النهضة,تعليم عالمي,تعليم عالمي بنات,بنات,قدرات,علمي,81.843537,32
الثانوية الرابعة 4- مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,وسط,حكومي,تعليم عام بنات,بنات,قدرات,نظري,79.0,32
ثانوية الرياض (دبلوم أمريكي),الرياض,الإدارة العامة للتعليم بمنطقة الرياض,غرب,تعليم عالمي,تعليم عالمي بنات,بنات,قدرات,علمي,81.722772,33
الثانوية الأولى لتحفيظ القرآن الكريم بمكة المكرمة - مقررات,مكة المكرمة,الإدارة العامة للتعليم بمنطقة مكة المكرمة,مكتب التعليم شمال مكة المكرمة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,78.910569,33
الزهراء الثانوية الأهلية - نظام مقررات,مكة المكرمة,الإدارة العامة للتعليم بمحافظة جدة,مكتب التعليم بجنوب جدة,أهلي,تعليم عام بنات,بنات,قدرات,علمي,81.644444,34
مدارس الفصحى الأهلية - ثانوي - مقررات,المدينة المنورة,الإدارة العامة للتعليم بمنطقة المدينة المنورة,مكتب التعليم شرق المدينة المنورة,أهلي,تعليم عام بنات,بنات,قدرات,نظري,78.833333,34
الثانوية الثامنة بالخبر ( مقررات ),الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بمحافظة الخبر,حكومي,تعليم عام بنات,بنات,قدرات,علمي,81.613725,35
الثانوية الخامسة والسبعون 75 - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,النهضة,حكومي,تعليم عام بنات,بنات,قدرات,نظري,78.787878,35
ثانوية الغد النموذجية ببريدة - مقررات,القصيم,الإدارة العامة للتعليم بمنطقة القصيم,مكتب التعليم شمال بريدة,أهلي,تعليم عام بنات,بنات,قدرات,علمي,81.598039,36
ثانوية تحفيظ القرآن الكريم بثادق - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,ثادق,حكومي,تحفيظ بنات,بنات,قدرات,نظري,78.666666,36
ثانوية التربية الاسلامية الأهلية مقررات,حائل,الإدارة العامة للتعليم بمنطقة حائل,شرق حائل,أهلي,تعليم عام بنات,بنات,قدرات,علمي,81.559139,37
ثانوية تحفيظ القرآن الثالثة - مقررات,مكة المكرمة,الإدارة العامة للتعليم بمحافظة جدة,مكتب التعليم بوسط جدة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,78.657718,37
ثانوية مدارس التربية الأهلية بالخبر - مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بمحافظة الخبر,أهلي,تعليم عام بنات,بنات,قدرات,علمي,81.343478,38
الثانوية الثانية لتحفيظ القرآن الكريم - مقررات,الرياض,إدارة التعليم بمحافظة الزلفي,الزلفي,حكومي,تحفيظ بنات,بنات,قدرات,نظري,78.616666,38
ثانوية التربية الإسلامية (الدبلوم الأمريكي),الرياض,الإدارة العامة للتعليم بمنطقة الرياض,غرب,تعليم عالمي,تعليم عالمي بنات,بنات,قدرات,علمي,81.26506,39
الثانوية الرابعة لتحفيظ القران الكريم في بريدة - مقررات,القصيم,الإدارة العامة للتعليم بمنطقة القصيم,مكتب التعليم شمال بريدة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,78.610108,39
ثانوية الغد الأهلية - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,وسط,أهلي,تعليم عام بنات,بنات,قدرات,علمي,81.235294,40
ثانوية الفرسان الأهلية - المقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,أهلي,تعليم عام بنات,بنات,قدرات,نظري,78.535211,40
الثانوية الخامسة والعشرون 25- مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,حكومي,تعليم عام بنات,بنات,قدرات,علمي,81.145061,41
ثانوية التربية الأهلية - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,أهلي,تعليم عام بنات,بنات,قدرات,نظري,78.5,41
الثانوية الحادية  والثمانون 81 - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,حكومي,تعليم عام بنات,بنات,قدرات,علمي,81.13003,42
الثانوية الثالثة لتحفيظ القرآن الكريم ببريدة - مقررات,القصيم,الإدارة العامة للتعليم بمنطقة القصيم,مكتب التعليم جنوب بريدة بنات,حكومي,تحفيظ بنات,بنات,قدرات,نظري,78.455516,42
ثانوية مدارس العزيزيه الاهلية للبنات - مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بمحافظة الخبر,أهلي,تعليم عام بنات,بنات,قدرات,علمي,81.098484,43
ثانوية ام المؤمنين خديجة لتحفيظ القرآن - مقررات,مكة المكرمة,الإدارة العامة للتعليم بمحافظة جدة,مكتب التعليم بشمال جدة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,78.431818,43
ثانوية مدارس التربية والتعليم للبنات  بالدمام - مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم غرب الدمام,أهلي,تعليم عام بنات,بنات,قدرات,علمي,81.09322,44
الثانوية الـحادية والستون بعد المائة 161- مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,حكومي,تعليم عام بنات,بنات,قدرات,نظري,78.34188,44
ثانوية منارات الرياض العالمية,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,تعليم عالمي,تعليم عالمي بنات,بنات,قدرات,علمي,81.07738,45
دار الرواد  الثانوية الأهلية نظام مقررات,مكة المكرمة,الإدارة العامة للتعليم بمحافظة جدة,مكتب التعليم بشمال جدة,أهلي,تعليم عام بنات,بنات,قدرات,نظري,78.218181,45
ثانوية شركة مدارس الطائف الأهلية النموذجية المحدودة - مقررات,مكة المكرمة,الإدارة العامة للتعليم بمحافظة الطائف,مكتب التعليم بغرب الطائف,أهلي,تعليم عام بنات,بنات,قدرات,علمي,80.889763,46
الثانوية الثانية لتحفيظ القرآن الكريم ببريدة - مقررات,القصيم,الإدارة العامة للتعليم بمنطقة القصيم,مكتب التعليم شمال بريدة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,78.195402,46
مدارس العقيق الأهلية للبنات - المنهج  الأمريكي - ثانوي,المدينة المنورة,الإدارة العامة للتعليم بمنطقة المدينة المنورة,مكتب التعليم غرب المدينة المنورة,تعليم عالمي,تعليم عالمي بنات,بنات,قدرات,علمي,80.829268,47
مدارس العقيق الأهلية للبنات - ثانوي- مقررات,المدينة المنورة,الإدارة العامة للتعليم بمنطقة المدينة المنورة,مكتب التعليم غرب المدينة المنورة,أهلي,تعليم عام بنات,بنات,قدرات,نظري,78.175438,47
ثانوية العربية الأهلية - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,وسط,أهلي,تعليم عام بنات,بنات,قدرات,علمي,80.821428,48
الثانوية الثامنة والخمسون بعد المائة 158 - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,حكومي,تعليم عام بنات,بنات,قدرات,نظري,78.140495,48
ثانوية مدارس المنــــارات الأهلية (مقررات) للبنات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم شرق الدمام,أهلي,تعليم عام بنات,بنات,قدرات,علمي,80.777777,49
الثانوية الأولى لتحفيظ القرآن الكريم بالشماسية - مقررات,القصيم,الإدارة العامة للتعليم بمنطقة القصيم,مكتب التعليم جنوب بريدة بنات,حكومي,تحفيظ بنات,بنات,قدرات,نظري,78.127272,49
ثانوية  مدارس رياض الإحسان الاهلية للبنات بالدمام - مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم شرق الدمام,أهلي,تعليم عام بنات,بنات,قدرات,علمي,80.566037,50
الثانوية التاسعة بعد المائة -  مقررات  109,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,الروابي,حكومي,تعليم عام بنات,بنات,قدرات,نظري,78.114035,50
الثانوية الثامنة بالقطيف(مقررات),الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بمحافظة القطيف,حكومي,تعليم عام بنات,بنات,قدرات,علمي,80.49491,51
الثانوية الأولى لتحفيظ القرآن الكريم بالبدائع - مقررات,القصيم,الإدارة العامة للتعليم بمنطقة القصيم,مكتب التعليم في محافظة البدائع,حكومي,تحفيظ بنات,بنات,قدرات,نظري,78.109375,51
ثانوية نجد مسار دولي أمريكي,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,تعليم عالمي,تعليم عالمي بنات,بنات,قدرات,علمي,80.494623,52
الثانوية الأولى لتحفيظ القرآن بالدمام - مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم شرق الدمام,حكومي,تحفيظ بنات,بنات,قدرات,نظري,78.0,52
ثانوية رياض نجد الأهلية - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,النهضة,أهلي,تعليم عام بنات,بنات,قدرات,علمي,80.471204,53
ثانوية غراس الأخلاق الاهلية مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,أهلي,تعليم عام بنات,بنات,قدرات,نظري,77.934579,53
الثانوية الثانية بالظهران(تطوير- مقررات),الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بمحافظة الخبر,حكومي,تعليم عام بنات,بنات,قدرات,علمي,80.355889,54
ثانوية تحفيظ القرآن الرابعة - مقررات,مكة المكرمة,الإدارة العامة للتعليم بمحافظة جدة,مكتب التعليم بشرق جدة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,77.892215,54
ثانوية ابن خلدون العالمية - عرقه,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,غرب,تعليم عالمي,تعليم عالمي بنات,بنات,قدرات,علمي,80.3125,55
الثانوية الرابعة لتحفيظ القرآن الكريم بمكة المكرمة - مقررات,مكة المكرمة,الإدارة العامة للتعليم بمنطقة مكة المكرمة,مكتب التعليم غرب مكة المكرمة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,77.833333,55
ثانوية دوحة العلم الأهلية (نظام المقررات),مكة المكرمة,الإدارة العامة للتعليم بمنطقة مكة المكرمة,مكتب التعليم جنوب مكة المكرمة,أهلي,تعليم عام بنات,بنات,قدرات,علمي,80.256198,56
ثانوية تحفيظ القرآن بالعيون . - مقررات,الشرقية,الإدارة العامة للتعليم بمحافظة الاحساء,مكتب التعليم بالمبرز,حكومي,تحفيظ بنات,بنات,قدرات,نظري,77.807017,56
الصالحية الثانوية الأهلية - مقررات,مكة المكرمة,الإدارة العامة للتعليم بمحافظة جدة,مكتب التعليم بجنوب جدة,أهلي,تعليم عام بنات,بنات,قدرات,علمي,80.251968,57
ثانوية تحفيظ القرآن بالمبرز. - مقررات,الشرقية,الإدارة العامة للتعليم بمحافظة الاحساء,مكتب التعليم بالمبرز,حكومي,تحفيظ بنات,بنات,قدرات,نظري,77.689189,57
ثانوية غراس الأخلاق الاهلية مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,أهلي,تعليم عام بنات,بنات,قدرات,علمي,80.233429,58
ثانوية تحفيظ القران الاولى - مقررات,مكة المكرمة,الإدارة العامة للتعليم بمحافظة جدة,مكتب التعليم بجنوب جدة,حكومي,تحفيظ بنات,بنات,قدرات,نظري,77.540322,58
ثانوية واحة العلم الأهلية - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,وسط,أهلي,تعليم عام بنات,بنات,قدرات,علمي,80.212389,59
الثانوية الأولى لتحفيظ القرآن بالجبيل - مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بمحافظة الجبيل,حكومي,تحفيظ بنات,بنات,قدرات,نظري,77.48913,59
الثانوية الثالثة 3 - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,وسط,حكومي,تعليم عام بنات,بنات,قدرات,علمي,80.123287,60
الثانوية الثالثة لتحفيظ القرآن الكريم 3 - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,الروابي,حكومي,تحفيظ بنات,بنات,قدرات,نظري,77.459821,60
الثانوية الأولى بالمبرز مقررات,الشرقية,الإدارة العامة للتعليم بمحافظة الاحساء,مكتب التعليم بالمبرز,حكومي,تعليم عام بنات,بنات,قدرات,علمي,80.089126,61
الثانوية الحادية والعشرون بالدمام - مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم غرب الدمام,حكومي,تعليم عام بنات,بنات,قدرات,نظري,77.337552,61
مدارس الملك عبدالعزيز النموذجية - نظام المقررات,تبوك,الإدارة العامة للتعليم بمنطقة تبوك,مركز اشراف تبوك,أهلي,تعليم عام بنات,بنات,قدرات,علمي,80.063218,62
الثانوية الثانية - مقررات,القصيم,إدارة التعليم بمحافظة الرس,إدارةالتعليم بمحافظة الرس,حكومي,تعليم عام بنات,بنات,قدرات,نظري,77.329411,62
ثانوية أسماء بنت أبي بكر  مقررات,الشرقية,الإدارة العامة للتعليم بمحافظة الاحساء,مكتب التعليم بالهفوف,حكومي,تعليم عام بنات,بنات,قدرات,علمي,80.055882,63
ثانوية تحفيظ القرآن الكريم بالمزاحمية - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,المزاحمية,حكومي,تحفيظ بنات,بنات,قدرات,نظري,77.287671,63
ثانوية الرياض الأهلية - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,غرب,أهلي,تعليم عام بنات,بنات,قدرات,علمي,80.05102,64
ثانوية التحفيظ الثالثة بالطائف - مقررات,مكة المكرمة,الإدارة العامة للتعليم بمحافظة الطائف,مكتب التعليم بشرق الطائف,حكومي,تحفيظ بنات,بنات,قدرات,نظري,77.170454,64
الثانوية الثامنة والخمسون بعد المائة 158 - مقررات,الرياض,الإدارة العامة للتعليم بمنطقة الرياض,شمال,حكومي,تعليم عام بنات,بنات,قدرات,علمي,80.005725,65
ثانوية أم المؤمنين خديجة بنت خويلد - مقررات,المدينة المنورة,الإدارة العامة للتعليم بمنطقة المدينة المنورة,مكتب التعليم غرب المدينة المنورة,حكومي,تعليم عام بنات,بنات,قدرات,نظري,77.140845,65
